Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
PUT,/project/<pid>/node/<nid>/comment/<cid>/undelete/,project_views.comment.undelete_comment,json_renderer,website,,
POST,/project/<pid>/node/<nid>/comment/<cid>/unreport/,project_views.comment.unreport_abuse,json_renderer,website,,
GET,/project/<pid>/node/<nid>/comments/,project_views.comment.list_comments,json_renderer,website,,
GET,/project/<pid>/node/<nid>/comments/discussion/,project_views.comment.comment_discussion,json_renderer,website,,
POST,/project/<pid>/node/<nid>/contributors/,project_views.contributor.project_contributors_post,json_renderer,website,,
POST,/project/<pid>/node/<nid>/contributors/manage/,project_views.contributor.project_manage_contributors,json_renderer,website,,
GET,/project/<pid>/node/<nid>/contributors_abbrev/,contributor.get_node_contributors_abbrev,json_renderer,website,,
POST,/project/<pid>/node/<nid>/create_key/,project_views.key.create_node_key,json_renderer,website,,
GET,/project/<pid>/node/<nid>/dataverse/config/,views.config.dataverse_config_get,json_renderer,dataverse,,
DELETE,/project/<pid>/node/<nid>/dataverse/config/,views.auth.deauthorize_dataverse,json_renderer,dataverse,,
POST,/project/<pid>/node/<nid>/dataverse/config/get-studies/,views.config.dataverse_get_studies,json_renderer,dataverse,,
PUT,/project/<pid>/node/<nid>/dataverse/config/import-auth/,views.config.dataverse_import_user_auth,json_renderer,dataverse,,
DELETE,/project/<pid>/node/<nid>/dataverse/deauthorize/,views.auth.deauthorize_dataverse,json_renderer,dataverse,,
POST,/project/<pid>/node/<nid>/dataverse/file/,views.crud.dataverse_upload_file,json_renderer,dataverse,,
POST,/project/<pid>/node/<nid>/dataverse/file/<path:path>/,views.crud.dataverse_upload_file,json_renderer,dataverse,,
DELETE,/project/<pid>/node/<nid>/dataverse/file/<path:path>/,views.crud.dataverse_delete_file,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/file/<path:path>/proxy/,views.crud.dataverse_download_file_proxy,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/file/<path:path>/render/,views.crud.dataverse_get_rendered_file,json_renderer,dataverse,,
